slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
hela,HeLa,"[""[Website](https://helalabs.com/)""]",AI,"[""Static Application Security Testing"",""Secret Scanning"",""CI/CD Pipeline Security""]",$0.02/Gas fee,Pay-as-you-go,,"It provides a modular, EVM-compatible Layer-1 blockchain platform for building dApps, supporting applications involving personalized AI and real-world use cases",FALSE
hokusai,Hokusai,"[""[Website](https://github.com/artsy/hokusai)""]",CLI,"[""Docker""]",$0,Free,,"It is designed to simplify the application development, testing and deployment lifecycle for developers",FALSE
intellij-solidity-plugin,Intellij Solidity Plugin,"[""[Website](https://github.com/intellij-solidity/intellij-solidity)""]",Tool,"[""IntelliJ"",""JetBrains"",""IDE Plugin""]",$0,Free,,"It provides a comprehensive suite of developer tools that deeply integrate the writing, testing, debugging, and deployment of Solidity smart contracts directly within the JetBrains integrated development environment",FALSE
ipfs,IPFS,"[""[Docs](https://docs.ipfs.io/)""]",Tool,"[""Go"",""JavaScript"",""Storage""]",$0,Free,,Distributed file storage protocol commonly used by Polygon dApps,FALSE
jeb-decompiler,PNF Software,"[""[Website](https://www.pnfsoftware.com/jeb/manual/ethereum/)""]",Testing and Debugging,"[""Reverse Engineering"",""Decompiler"",""Disassembler"",""Debugger"",""Code Analysis""]",$0,Free,,"It is a powerful interactive reverse-engineering platform used for the disassembly, decompilation, debugging, and analysis of complex code and document files",FALSE
kevm,KEVM,"[""[Website](https://github.com/runtimeverification/evm-semantics)""]",Tool,"[""Formal Verification"",""Formal Methods"",""K Framework""]",$0,Free,,"It allows developers to write custom tests and work with the underlying semantics of a blockchain environment, such as Cardano's EVM layer, before it is fully launched",FALSE
krebit,Krebit,"[""[Website](https://hackers.tools/d/krebit)""]",Tool,"[""Decentralized identity"",""Verifiable credentials"",""Web3 reputation systems""]",$0,Free,,It is a reputation scoring platform for digital assets and decentralized finance that allows developers to integrate creditworthiness credentials into their applications,FALSE
kriptonio-free,Kriptonio,"[""[Website](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Development platform,"[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",$0,Free,,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols",FALSE
kriptonio-personal,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Development platform,"[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",$0,Personal,Tiered,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols",FALSE
kriptonio-starter,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Development platform,"[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",$59/mo,Starter,Tiered,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols",FALSE
kriptonio-growth,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Development platform,"[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",$259/mo,Growth,Tiered,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols",FALSE
kriptonio-enterprise,Kriptonio,"[""[Contact](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Development platform,"[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",Custom,TBD,,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols",FALSE
kurtosis,Kurtosis,"[""[Website](https://www.kurtosis.com/)""]",Development platform,"[""Reproducible testnets"",""Private testnets"",""Docker"",""Kubernetes"",""Ethereum developer tools""]",$0,Free,,"It offers a platform for packaging, launching, and managing ephemeral development and testing environments for distributed systems, especially in the Web3/blockchain space",FALSE
laika-ai,Laika AI,"[""[Website](https://laikalabs.ai/)""]",AI,"[""AI"",""On-chain Data"",""Analytics""]",Custom,Enterprise,,"It offers an enterprise API and a SDK for custom agent development, allowing other developers to integrate its analytics and smart contract auditing features into their own applications",FALSE
limechain,LimeChain,"[""[Website](https://limechain.tech)""]",Development platform,"[""Consulting"",""Development"",""Blockchain""]",Custom,Enterprise,,"It helps developers create smart contracts, run nodes, manage multi-sigs and integrate AI agents for enhanced Web3 projects",FALSE
livepeer-js-enterprise,Livepeer.js,"[""[Buy](https://livepeer.studio/pricing)"",""[Docs](https://docs.livepeer.org/developers/introduction)""]",Development platform,"[""Decentralized Video"",""Web3 Development"",""AI Processing""]",up to $2.5K/mo,Enterprise,,"It is a suite of JavaScript tools and SDKs that enables developers to easily integrate decentralized live and on-demand video streaming, transcoding and AI-powered video processing into their web3 applications",FALSE
livepeer-js-pay-as-you-go,Livepeer.js,"[""[Buy](https://livepeer.studio/pricing)"",""[Docs](https://docs.livepeer.org/developers/introduction)""]",Development platform,"[""Decentralized Video"",""Web3 Development"",""AI Processing""]",up to $100/mo,Pay-as-you-go,Growth,"It is a suite of JavaScript tools and SDKs that enables developers to easily integrate decentralized live and on-demand video streaming, transcoding and AI-powered video processing into their web3 applications",FALSE
livepeer-js-sandbox,Livepeer.js,"[""[Website](https://livepeer.studio/pricing)"",""[Docs](https://docs.livepeer.org/developers/introduction)""]",Development platform,"[""Decentralized Video"",""Web3 Development"",""AI Processing""]",$0,Free,Sandbox,"It is a suite of JavaScript tools and SDKs that enables developers to easily integrate decentralized live and on-demand video streaming, transcoding and AI-powered video processing into their web3 applications",FALSE
maian,Maian,"[""[Website](https://github.com/ivicanikolicsg/MAIAN)""]",Tool,"[""Smart Contract Vulnerability Detection"",""Ethereum Smart Contracts"",""Blockchain Security Tools"",""Vulnerability Detection""]",$0,Free,Free,It used for static and dynamic analysis to detect security vulnerabilities in Ethereum smart contracts,FALSE
mimic,Mimic,"[""[Website](https://mimic.fi/)""]",Development platform,"[""Blockchain automation"",""Decentralized finance"",""Smart contracts"",""Cross-chain operations""]",Custom,Enterprise,Enterprise,It provides a decentralized automation protocol and developer tools for building and scaling on-chain logic and decentralized finance operations without requiring complex smart contracts,FALSE
moralis-free,Moralis,"[""[Website](https://moralis.com/)"",""[Docs](https://docs.moralis.io/)""]",Development platform,"[""Web3 SDK"",""Data APIs""]",$0,Free,,One-stop web3 development platform offering a unified SDK and APIs for building dApps,FALSE
moralis-pay-as-you-go,Moralis,"[""[Buy](https://moralis.com/pricing/)"",""[Docs](https://docs.moralis.io/)""]",Development platform,"[""Web3 SDK"",""Data APIs""]",$59/$249/$749/mo,Tiered,Started/Pro/Business,One-stop web3 development platform offering a unified SDK and APIs for building dApps,FALSE
moralis-enterprise,Moralis,"[""[Contact](https://moralis.com/pricing/)"",""[Docs](https://docs.moralis.io/)""]",Development platform,"[""Web3 SDK"",""Data APIs""]",Custom,Enterprise,,One-stop web3 development platform offering a unified SDK and APIs for building dApps,FALSE
mosaia-free,Mosaia,"[""[Website](https://www.mosaia.io/)""]",AI,"[""Building and deploying AI agents and teams""]",$0,Free,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-pay-as-you-go,Mosaia,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$19/$349/mo,Tiered,Explorer/Pro,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-enterprise,Mosaia,"[""[Contact](https://calendly.com/cyril-mosaia)""]",AI,"[""Building and deploying AI agents and teams""]",Custom,Enterprise,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mpcvault-free,MPCVault,"[""[Website](https://mpcvault.com/)""]",Development platform,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",$0,Free,,Digital asset custody and wallet infrastructure,FALSE
mpcvault-pay-as-you-go,MPCVault,"[""[Buy](https://mpcvault.com/pricing)""]",Development platform,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",$255/$1280/mo,Tiered,Small team/Business,Digital asset custody and wallet infrastructure,FALSE
mpcvault-enterprise,MPCVault,"[""[Contact](https://mpcvault.com/pricing)""]",Development platform,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",Custom,Enterprise,,Digital asset custody and wallet infrastructure,FALSE
multicall3,Multicall3,"[""[Website](https://www.multicall3.com)""]",Tool,"[""Contract Calls"",""Aggregation"",""RPC""]",$0,TBD,,It enables the batching of multiple calls to other smart contracts into a single transaction,FALSE
multisender,Multisender,"[""[Website](https://multisender.app/)""]",Tool,"[""Multisender"",""Multisend"",""Bulk sender"",""Send multiple tokens"",""Batch transactions"",""Token distribution""]",Custom,TBD,,It provides a specific function that development teams and project managers use to manage and distribute digital assets efficiently. It operates via the user's own smart wallet but not a wallet provider itself,FALSE
onmeta,Onmeta,"[""[Website](https://onmeta.in/)""]",Tool,"[""Web3 infrastructure"",""On/Off-ramp solutions"",""Payment APIs"",""SDK integration""]",Custom,Pay-as-you-go,,"It provides developers with fiat-to-crypto i.e on-ramp and crypto-to-fiat i.e off-ramp infrastructure for integrating cryptocurrency buy and sell functionality into Web3 applications, platforms, or wallets",FALSE
openfort-free,Openfort,"[""[Website](https://openfort.xyz/)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",$0,Free,Starter,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
openfort-pay-as-you-go,Openfort,"[""[Buy](https://www.openfort.io/pricing)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",$99/$249/$599/mo,Tiered,Growth/Pro/Scale,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
openfort-enterprise,Openfort,"[""[Contact](https://cal.com/joalavedra)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",Custom,Enterprise,,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
orbit-db,Orbit DB,"[""[Website](https://orbitdb.org/)""]",Database,"[""Decentralized database""]",$0,Free,,"It provides a serverless, distributed, peer-to-peer database for building decentralized applications",FALSE
orderly,Orderly,"[""[Website](https://orderly.network/)""]",Development platform,"[""Web3 trading infrastructure"",""Order book infrastructure"",""DEX SDK""]",Custom,TBD,,It provides the necessary tools and infrastructure for developers to create decentralized applications with a centralized exchange like trading experience,FALSE
oyente,Oyente,"[""[Website](https://github.com/enzymefinance/oyente)""]",Tool,"[""Identify Security Vulnerabilities""]",$0,TBD,,"It designed for Ethereum smart contracts, assisting developers and auditors in identifying potential security vulnerabilities",FALSE
ox-standard,Ox,"[""[Website](https://0x.org/pricing)""]",Development platform,"[""Swap API"",""Gasless API"",""Trade Analytics API""]",$0,Free,Standard,"A developer platform providing powerful APIs for building financial applications on blockchain networks, focusing on decentralized trading and liquidity aggregation.",FALSE
ox-custom,Ox,"[""[Contact](https://0x.org/contact)""]",Development platform,"[""Swap API"",""Gasless API"",""Trade Analytics API""]",Custom,Enterprise,,"A developer platform providing powerful APIs for building financial applications on blockchain networks, focusing on decentralized trading and liquidity aggregation.",FALSE
particle,Particle,"[""[Website](https://particle.network/)""]",Development platform,"[""Web3 developer tools"",""Blockchain development tools"",""dApp development""]",Custom,TBD,,"It offers modular SDKs and infrastructure for building chain-agnostic Web3 applications with a simplified, Web2-like user experience",FALSE
paymaster,Paymaster,"[""[Docs](https://docs.cdp.coinbase.com/paymaster/introduction/welcome)""]",Tool,"[""Account Abstraction""]",Custom,TBD,,Account abstraction endpoints to send transactions and sponsor gas,FALSE
pimlico,Pimlico,"[""[Website](https://www.pimlico.io/)""]",Development platform,"[""Smart Accounts"",""Bundlers"",""Paymasters"",""ERC-4337""]",Custom,TBD,,"Infrastructure platform for building smart accounts with bundlers, verifying paymasters, and ERC-20 paymasters for gas sponsorship and enhanced transaction flows",FALSE
polyzoa,Polyzoa,"[""[Website](https://www.polyzoa.xyz/)""]",Security and compliance,"[""Anti-scam solutions"",""Threat Detection"",""Phishing Protection"",""Web3 Security""]",$0,TBD,,Developer tool provider in the Web3 space that offers an anti-scam security layer for blockchain infrastructure,FALSE
portal-free,Portal,"[""[Portal](https://portal.polygon.technology/)"",""[Docs](https://www.portalhq.io/)""]",Development platform,"[""Web"",""Developer Portal""]",$0,TBD,,"Main developer portal with docs, faucet, explorer hub and access to Amoy testnet, RPC endpoints",FALSE
portal-pay-as-you-go,Portal,"[""[Portal](https://portal.polygon.technology/)"",""[Docs](https://www.portalhq.io/)""]",Development platform,"[""Web"",""Developer Portal""]",$499,TBD,,"Main developer portal with docs, faucet, explorer hub and access to Amoy testnet, RPC endpoints",FALSE
portal-enterprise,Portal,"[""[Portal](https://portal.polygon.technology/)"",""[Docs](https://www.portalhq.io/)""]",Development platform,"[""Web"",""Developer Portal""]",Custom,TBD,,"Main developer portal with docs, faucet, explorer hub and access to Amoy testnet, RPC endpoints",FALSE
privy,Privy,"[""[Docs](https://docs.privy.io/welcome)""]",Development platform,"[""Authentication"",""Wallet""]",Custom,TBD,,"Securely spin up whitelabel wallets, sign transactions and integrate onchain infrastructure-all through one simple API",FALSE
rarible,Rarible,"[""[Docs](https://docs.rarible.org/docs/introduction)""]",NFT,"[""Rarible SDK"",""Rarible Protocol"",""Multichain SDK"",""NFT API"",""NFT Development""]",$0,TBD,,"It simplifies building NFT applications by providing an abstraction layer over multiple blockchains, allowing developers to easily create, mint, sell, buy, transfer and query NFTs without deep blockchain specifics",FALSE
reclaim-protocol,Reclaim Protocol,"[""[Website](https://docs.reclaimprotocol.org/)""]",Development platform,"[""Zero-knowledge proofs"",""Data verification"",""Identity verification"",""Private data""]",Custom,TBD,,"It provides developers with SDKs and tools to integrate user identity, activity and reputation data from websites into applications using privacy-preserving zero-knowledge proofs.",FALSE
remix,Remix,"[""[Docs](https://remix-ide.readthedocs.io/)""]",IDE,"[""IDE"",""Solidity""]",$0,TBD,,Open-source online IDE for writing compiling and debugging Ethereum smart contracts,FALSE
reown,Reown,"[""[Website](https://reown.com/)"",""[Docs](https://docs.reown.com/)""]",Tool,"[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",Custom,TBD,,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX",FALSE
reservoir,Reservoir,"[""[Website](https://nft.reservoir.tools/reference/what-is-reservoir)""]",NFT,"[""NFT"",""Orderbook"",""Marketplace""]",Custom,TBD,,"Reservoir is a developer platform that lets you interact with the NFT market using a single toolkit. With the tools, you can build custom marketplaces, embed buying and selling into your app, and get distribution for your protocol's liquidity, among many other use cases",FALSE
rivet-cloud-free,Rivet.cloud,"[""[Docs](https://rivet.cloud/docs/)""]",Development platform,"[""Cloud-Based Ethereum API Service""]",$0/3K req,TBD,,"It offers developer tools for EVM-based chains, functioning as a browser extension that helps engineers inspect, debug, modify and manipulate the state of a local Ethereum node, similar to browser DevTools or React DevTools",FALSE
rivet-cloud-pay-as-you-go,Rivet.cloud,"[""[Docs](https://rivet.cloud/docs/)""]",Development platform,"[""Cloud-Based Ethereum API Service""]",$0.50/100K req,TBD,,"It offers developer tools for EVM-based chains, functioning as a browser extension that helps engineers inspect, debug, modify and manipulate the state of a local Ethereum node, similar to browser DevTools or React DevTools",FALSE
rivet-dev-cloud-free,Rivet.clev,"[""[Website](https://www.rivet.dev/cloud/)""]",Development platform,"[""AI Orchestration Tools""]",$0,TBD,,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools",FALSE
rivet-dev-cloud-hobby,Rivet.clev,"[""[Buy](https://www.rivet.dev/cloud/#pricing)""]",Development platform,"[""AI Orchestration Tools""]",$20,TBD,,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools",FALSE
rivet-dev-cloud-team,Rivet.clev,"[""[Buy](https://www.rivet.dev/cloud/#pricing)""]",Development platform,"[""AI Orchestration Tools""]",$200,TBD,,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools",FALSE
rivet-dev-cloud-enterprise,Rivet.clev,"[""[Contact](https://www.rivet.dev/sales/)""]",Development platform,"[""AI Orchestration Tools""]",Custom,TBD,,"It is cloud platform for building and scaling stateful backends with a focus on real-time applications, such as AI agents, multiplayer games and collaborative tools",FALSE
robot-framework-solidity-testing-toolkit,Robot Framework Solidity Testing Toolkit,"[""[Website](https://github.com/jg8481/Robot-Framework-Solidity-Testing-Toolkit)""]",Tool,"[""Robotframework"",""Solidity"",""Testing"",""Smart-Contracts""]",$0,TBD,,"It provides keyword-driven automation for testing, deploying and monitoring Solidity smart contracts on EVM-compatible blockchains",FALSE
rollup-codes,Rollup.codes,"[""[Website](https://www.rollup.codes/linea)""]",Tool,"[""Ethereum Rollups"",""Analysis"",""Opcodes""]",$0,TBD,,It provides resources and data to help developers building on rollups select the optimal configurations and integrate third-party services,FALSE
rust-ethereum-abi,Rust Ethereum ABI,"[""[Website](https://github.com/rust-ethereum/ethabi)""]",Tool,"[""Rust Ethereum ABI"",""Ethereum smart contract ABI"",""Encode decode ABI Rust""]",$0,TBD,,It provides functionality for encoding and decoding data that allows external applications and other smart contracts written in Rust to interact seamlessly with smart contracts on the Ethereum blockchain and other EVM-compatible networks,FALSE
sablier,Sablier,"[""[Website](https://sablier.com/)""]",Development platform,"[""Container Orchestration"",""Auto-Scaling"",""Docker"",""Kubernetes"",""Serverless Technology""]",$0,TBD,,"It provides the infrastructure for developers and businesses to build applications that manage on-chain token distribution, replacing traditional, discrete lump-sum payments",FALSE
safe,Safe,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]",Security and compliance,"[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]",Custom,TBD,,"Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol",FALSE
scaffold-eth,Scaffold ETH,"[""[Website](https://github.com/scaffold-eth/scaffold-eth-2)""]",Tool,"[""dApp development"",""Ethereum development"",""Smart contract development""]",$0,TBD,,"It streamlines the complex development process by providing a pre-configured template that integrates a local blockchain environment, smart contract development tools, and a dynamic frontend",FALSE
sign-protocol,Sign Protocol,"[""[Docs](https://docs.ethsign.xyz/)""]",Tool,"[""Blockchain signature tools"",""Smart contracts"",""Web3 identity/attestation""]",Custom,TBD,,"It offers a suite of tools and APIs for integrating blockchain-based, legally compliant document signing and data verification functionalities into other Web3 applications",FALSE
smartmuv,SmartMuv,"[""[Website](https://smartmuv.app/)""]",Tool,"[""Smart contract analysis"",""Blockchain data extraction"",""Web3 development tools""]",Custom,TBD,,"It facilitate solidity smart contract analysis, deep storage data extraction, and migration",FALSE
spheron-network,Spheron Network,"[""[Website](https://www.spheron.network)""]",Development platform,"[""Web3 Infrastructure"",""Deployment"",""Scaling""]",Custom,TBD,,"It provides various tools and SDKs to help developers integrate with its decentralized infrastructure, manage deployments and utilize its compute resources",FALSE
sprintcheckout,Sprintcheckout,"[""[Website](https://sprintcheckout.com/)""]",Tool,"[""Crypto payment gateway"",""Web3 payment tools"",""Blockchain payment solution""]",Custom,TBD,,"It provides the infrastructure and tools for developers to seamlessly incorporate modern, low-cost, and user-friendly crypto payment options into their projects",FALSE
stackup-free,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",$0,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-pay-as-you-go,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",$500/mo,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-enterprise,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",Custom,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
starton-free,Starton,"[""[Website](https://github.com/starton-io)""]",Development platform,"[""Web3 API for developers"",""Build Web3 applications"",""Web3 development platform""]",€0,TBD,,It provides a unified API and a suite of tools to simplify the integration of blockchain technology into applications,FALSE
starton-pay-as-you-go,Starton,"[""[Website](https://github.com/starton-io)""]",Development platform,"[""Web3 API for developers"",""Build Web3 applications"",""Web3 development platform""]",€99/mo/project,TBD,,It provides a unified API and a suite of tools to simplify the integration of blockchain technology into applications,FALSE
starton-enterprise,Starton,"[""[Website](https://github.com/starton-io)""]",Development platform,"[""Web3 API for developers"",""Build Web3 applications"",""Web3 development platform""]",Custom,TBD,,It provides a unified API and a suite of tools to simplify the integration of blockchain technology into applications,FALSE
sublime-ethereum,Sublime-Ethereum,"[""[Website](https://github.com/davidhq/SublimeEthereum)""]",Tool,"[""Solidity""]",$0,TBD,,"It provides developers with a specialized, efficient interface for building decentralized applications and smart contracts on the blockchain",FALSE
superchain-dev-console,Superchain Dev Console,"[""[Website](https://console.optimism.io/)""]",Tool,"[""Superchain"",""OP Stack"",""Optimism"",""Layer 2""]",Custom,TBD,,"It helps developers build, test, launch and grow decentralized applications within the Superchain ecosystem",FALSE
swaps,Swaps,"[""[Website](https://www.swaps.xyz/)"",""[Docs](https://docs.swaps.xyz/)""]",Tool,"[""Blockchain development"",""Decentralized applications"",""Crypto payment gateway""]",Custom,TBD,,"It abstracts the complexities of blockchain interactions, allowing developers to integrate diverse on-chain crypto experiences into their applications more easily",FALSE
swing,Swing,"[""[Website](https://swing.xyz)""]",Tool,"[""Cross-chain"",""API"",""SDK""]",$0,TBD,,"It simplifies Web3 development by allowing other applications like dApps, wallets, exchanges to easily integrate cross-chain functionality",FALSE
tableland,Tableland,"[""[Website](https://tableland.xyz/)""]",Database,"[""Web3 Database"",""Decentralized Database"",""Blockchain Database"",""SQL on Chain"",""Onchain Data""]",Custom,TBD,,"It allows developers to store and manage structured, relational data on-chain across various EVM-compatible blockchains, including Ethereum, Polygon and Optimism",FALSE
tableland-db,Tableland,"[""[Website](https://tableland.xyz/)""]",Database,"[""Decentralized database"",""SQL database"",""SQLite""]",Custom,TBD,,"It allows developers to store, manage, and query structured data for decentralized applications using familiar SQL statements, with access control and ownership tied to the blockchain",FALSE
tenderly,Tenderly,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/)""]",Development platform,"[""Debugging"",""Monitoring"",""Simulation""]",Custom,TBD,,Comprehensive development platform offering advanced smart contract debugging transaction simulation and monitoring services,FALSE
tenderly-sandbox,Tenderly,"[""[Docs](https://docs.tenderly.co/tenderly-sandbox)""]",IDE,"[""Smart Contract Development"", ""Solidity IDE"", ""In-browser Editor"", ""Transaction Debugging""]",Custom,TBD,,"It is a browser-based integrated development environment (IDE) for smart contracts that allows developers to write, test and debug Solidity code instantly without any local setup",FALSE
thirdweb-pay-as-you-go,Thirdweb,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",Development platform,"[""Smart Contracts"",""No-code"",""Account Abstraction"",""Payments"",""RPC""]",$5/$99/$499/mo,TBD,,"Leading all-in-one platform for Web3 developers to build, launch and manage applications with pre-built contracts and infrastructure tools",FALSE
thirdweb-enterprise,Thirdweb,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",Development platform,"[""Smart Contracts"",""No-code"",""Account Abstraction"",""Payments"",""RPC""]",$1499/mo,TBD,,"Leading all-in-one platform for Web3 developers to build, launch and manage applications with pre-built contracts and infrastructure tools",FALSE
thirdweb-aa,Thirdweb,"[""[Docs](https://portal.thirdweb.com/engine/v2/features/account-abstraction)""]",Tool,"[""SDK""]",Custom,TBD,,Comprehensive solution for smart accounts with paymaster and sponsored transactions,FALSE
thirdweb-pay,Thirdweb,"[""[Docs](https://portal.thirdweb.com/pay)""]",Tool,"[""SDK""]",$0,TBD,,Fiat and cross-chain crypto payments with gas fee abstraction,FALSE
thread-db,Thread DB,"[""[Docs](https://docs.textile.io/threads/)""]",Database,"[""Decentralized database"",""P2P database""]",Custom,TBD,,"It is a multi-party,decentralized database solution built on IPFS and Libp2p that provides an alternative architecture for data on the web",FALSE
thx-network,THX Network,"[""[Docs](https://docs.thx.network/campaign-managers/getting-started)""]",Development platform,"[""Retention"",""Rewards"",""Community""]",Custom,TBD,,"It offers simplified APIs and a robust infrastructure designed to help Web2 companies and developers quickly build and integrate Web3 services, such as embedding ERC20 and ERC721 tokens into their existing applications",FALSE
toolblox-free,Toolblox,"[""[Website](https://www.toolblox.net/)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",$0,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
toolblox-pay-as-you-go,Toolblox,"[""[Buy](https://www.toolblox.net/Pricing)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",$19/$42/mo/$180,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
toolblox-enterprise,Toolblox,"[""[Contact](https://www.toolblox.net/CustomSolution?a=)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",Custom,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
triangle,Triangle,"[""[Website](https://www.triangleplatform.com/)""]",Tool,"[""Web3 Developer tools"",""Wallet Infrastructure API"",""Blockchain API"",""Embed Web3 Experiences""]",Custom,TBD,,"It is a Web3 wallet infrastructure APIs and dedicated blockchain nodes for developers, aiming to simplify blockchain technology integration into applications",FALSE
type-chain,TypeChain,"[""[Website](https://github.com/dethcrypto/TypeChain)""]",Tool,"[""TypeScript"",""Smart Contracts"",""Code Generation"",""Type Safety"",""dApp Development""]",$0,TBD,,"It provides TypeScript bindings for Ethereum smart contracts, generating a type-safe API for interacting with them in decentralized applications",FALSE
univoucher,UniVoucher,"[""[Docs](https://docs.univoucher.com/)""]",Tool,"[""Gift card"",""Payment gateway"",""Wallet integration""]",Custom,TBD,,"It offers an API and documentation that allow developers to integrate the functionality of creating and managing decentralized, tangible crypto gift cards into their own applications",FALSE
unlock-protocol,Unlock Protocol,"[""[Website](https://unlock-protocol.com/)""]",Tool,"[""Membership"",""NFT"",""Subscriptions"",""Smart Contracts""]",Custom,TBD,,"Open source smart contracts built for memberships and subscriptions NFTs including time-bound and recurring features, used for token gating and membership management",FALSE
venly-pay-as-you-go,Venly,"[""[Buy](https://www.venly.io/pricing)""]",Development platform,"[""APIs "",""Web3 Platform"",""Non-Fungible Tokens"",""Wallet-as-a-Service""]",$99/$199/$499/mo,TBD,,"It provides a suite of APIs and SDKs designed to help businesses integrate Web3 capabilities into their applications, offering wallet-as-a-service and NFT solutions",FALSE
