slug,provider,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains,txSpeedSla,throughputSla
polyhedra,Polyhedra Network,zk‑Bridge with Zero‑Knowledge State Proofs,TRUE,"[""Discord""]",FALSE,"[""Token & NFT Transfer"",""Cross‑chain Messaging""]",,"[""zk proofs for trustless state verification"",""Supports 20+ L1/L2s""]","[""ERC‑20"",""NFT""]",Gas Fee + ZK fee,TRUE,ZK proofs validate full state without trust assumptions,"[""Platform audits reported""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://expchain.polyhedra.network/bridge)"",""[Docs](https://docs.polyhedra.network/expchain/bridge)""]","[""ethereum testnet"",""expchain testnet"",""bnb chain testnet""]",NULL,NULL
retro,Retro Bridge,Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Native stablecoin bridging""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Relayer network with proof-based validation,,Decentralized,"[""Web UI""]","[""[Bridge](https://app.retrobridge.io/)"",""[Docs](https://docs.retrobridge.io/)""]","[""arbitrum"",""ethereum"",""solana"",""optimism"",""base"",""scroll"",""unichain"",""linea"",""taiko"",""zksync era"",""ton"",""tron"",""sui"",""avalanche"",""polygon"",""bnb chain"",""sonic"",""x layer"",""mantle"",""starknet"",""abstact"",""soneium"",""ink""]",NULL,NULL
rhinofi,RhinoFi,Cross-chain Stablecoin Bridge,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Bridge API""]",,"[""Smart deposit API from CEXes"",""Cross-chain liquidity flows""]","[""Stablecoins""]",Gas Fee + liquidity fee,TRUE,"Liquidity-outpost pools, smart deposit routing","[""Independent audits reported""]",Partially Decentralized,"[""TypeScript""]","[""[Bridge](https://app.rhino.fi/bridge)"",""[Docs](https://docs.rhino.fi/get-started/introduction)""]","[""arbitrum"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""celo"",""gnosis"",""ink"",""kaia"",""katana"",""linea"",""mantle"",""opbnb"",""plasma"",""plume"",""scroll"",""sonic"",""taiko"",""unichain"",""zircuit"",""zksync era""]",NULL,NULL
routerprotocol,Router Protocol,Chain Abstraction,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Liquidity Aggregation""]",,"[""Multi‑chain routing""]","[""ETH"",""ERC‑20""]",Gas Fee + protocol fee,TRUE,Security via settlement chains,,Decentralized,"[""SDK"",""Web UI?""]","[""[Bridge](https://routernitro.com/swap)"",""[Docs](https://docs.routerprotocol.com/)""]","[""arbitrum one"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""berachain"",""bitcoin"",""hyperliquid"",""linea"",""mantle"",""router chain"",""solana"",""sonic"",""sui"",""tron"",""unichain"",""world chain""]",NULL,NULL
rubic,Rubic,Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Bridge API"",""Swap API""]",,"[""15k+ tokens"",""100+ chains supported""]","[""ETH"",""ERC‑20""]",Depends on underlying bridge,TRUE,Security inherited from selected bridge,,,"[""JS SDK"",""Web UI""]","[""[Bridge](https://rubic.exchange)"",""[Docs](https://docs.rubic.finance/)""]","[""polygon"",""bnb chain"",""tron"",""unichain"",""bitcoin"",""solana"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""zksync era"",""ton"",""avalanche"",""berachain"",""blast"",""scroll"",""morph"",""fraxtal"",""soneium"",""mode"",""mantle"",""metis"",""manta pacific"",""fantom"",""zkevm"",""pulsechain"",""taiko"",""hemi"",""filecoin"",""x layer"",""bahamut"",""dash"",""monero"",""cardano"",""cosmos"",""litecoin"",""xrp ledger"",""aptos"",""polkadot"",""stellar"",""near"",""zilliqa"",""tezos"",""xdc"",""kava cosmos"",""neo"",""gnosis"",""flare""]",NULL,NULL
safeswap,SafeSwap,Atomic Swap Native Token Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""Atomic swaps peer-to-peer"",""No wrapped tokens""]","[""Native EVM tokens""]",Gas Fee,FALSE,"Atomic swap locks/unlocks between user wallets, no liquidity pools","[""Audit referenced on GitHub""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://app.safeswap.io/)""]","[""arbitrum"",""ethereum"",""bnb chain"",""optimism"",""base"",""polygon"",""avalanche"",""vechain"",""rollux""]",NULL,NULL
smolrefuel,SmolRefuel,Gas Refuel Bridge,TRUE,"[""Discord""]",FALSE,"[""Gas Token Swap""]",,"[""Gas refueling across 80+ chains"",""Swap any token to gas without pre-funding""]","[""ETH"",""ERC‑20""]",Gas Fee swap model,FALSE,"Non-custodial, gas-only utility",,Decentralized,"[""TypeScript""]","[""[Bridge](https://smolrefuel.com)"",""[Docs](https://docs.smolrefuel.com)""]","[""og"",""abstract"",""adventure layer"",""ailayer"",""apechain"",""aptos"",""arbitrum nova"",""arbitrum one"",""astar"",""aurora"",""avalanche"",""b² network"",""base"",""beam"",""berachain"",""bevm"",""bitlayer"",""blast"",""bob"",""boba"",""botanix"",""bnb chain"",""callisto"",""camp"",""celo"",""civitia"",""coredao"",""corn"",""cronos"",""cronoszkevm"",""cyber"",""debank"",""degen"",""derive"",""dogechain"",""dymension"",""echelon"",""eclipse"",""embr"",""endurance"",""ethereum"",""etherlink"",""ethw"",""evmos"",""exsat"",""flame"",""flare"",""flow evm"",""fluence"",""forma"",""fraxtal"",""fuse"",""gatelayer"",""gnosis"",""goat"",""gravity"",""ham"",""harmony"",""hashkey"",""hemi"",""hyperliquid"",""hyperliquid evm"",""immutable zkevm"",""initia"",""injective"",""ink"",""katana"",""kava"",""klaytn"",""lens"",""linea"",""lisk"",""lukso"",""manta"",""mantle"",""matchain"",""merlin"",""metal"",""metis"",""mezo"",""milkyway"",""mint"",""mode"",""moonbeam"",""moonriver"",""morph"",""neon evm"",""nibiru"",""numbers"",""oasys"",""opbnb"",""optimism"",""optopia"",""peaq"",""plasma"",""plume"",""polygon"",""polygon zkevm"",""polynomial"",""prom"",""pulsechain"",""rari"",""ronin"",""rootstock"",""saakuru"",""sanko"",""satoshivm"",""scroll"",""sei"",""shaper"",""silicon"",""skate"",""solana"",""somnia"",""soneium"",""sonic"",""sophon"",""story"",""sui"",""superposition"",""superseed"",""swan"",""swell"",""syndicate frame"",""taiko"",""telos"",""thundercore"",""tron"",""unichain"",""unit0"",""vana"",""viction"",""vizing"",""wemix"",""world chain"",""x layer"",""xai"",""xdc"",""xrp"",""xrpl evm"",""zero"",""zeta"",""zircuit"",""zkcandy"",""zkfair"",""zklink nova"",""zksync era"",""zora""]",NULL,NULL
squid,Squid,Cross‑chain Swaps (via Axelar GMP),TRUE,"[""Discord""]",FALSE,"[""Swaps"",""Messaging""]",,"[""Composable Cross‑chain Contracts""]","[""ETH"",""ERC‑20""]",Gas Fee + relayer fee,TRUE,Secured via Axelar network,,Decentralized,"[""TypeScript SDK"",""Web UI""]","[""[Bridge](https://app.squidrouter.com/)"",""[Docs](https://docs.squidrouter.com)""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"", ""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]",NULL,NULL
stargate,Stargate Finance,Omnichain Liquidity Layer,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Pooled Liquidity Transfers"",""OFT Cross-chain Transfers""]","[""Unified Liquidity Pools"",""Low-Fee (0.06%)"",""OFT Support""]","[""ETH"",""USDC"",""USDT"",""ERC‑20"",""OFT""]","Gas Fee, Protocol Fee",TRUE,Decentralized pools secured by LayerZero consensus,"[""Audit(s) by DeFi teams""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://stargate.finance/)""]","[""base"",""plasma"",""arbitrum"",""optimism"",""linea"",""ethereum"",""unichain"",""soneium"",""hyperliquid"",""solana"",""og"",""abstract"",""ape"",""abstract"",""aptos"",""near"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""botanix"",""celo"",""core"",""corn"",""cronos"",""cyber"",""degen"",""edu"",""ethereal"",""etherlink"",""fantom"",""flare"",""flow"",""fraxtal"",""fuse"",""glue"",""gnosis"",""goat"",""gravity"",""hedera"",""hemi"",""hyperevm"",""ink"",""iota"",""kaia"",""katana"",""kava"",""lightlink"",""lisk"",""manta"",""mantle"",""metis"",""mode"",""moonbeam"",""moon"",""morph"",""nibiru"",""opbnb"",""peaq"",""plume"",""polygon"",""zkevm"",""rari"",""rootstock"",""sanko"",""scroll"",""sei"",""somnia"",""sonic"",""soph"",""story"",""sui"",""superposition"",""swell"",""tac"",""taiko"",""telosevm"", ""ton"",""tron"",""vana"",""viction"",""worldchain"",""x layer"",""xdc"",""xpla"",""zircuit"",""zksync"",""zkverify"",""zora""]",NULL,NULL
starkware,StarkWare,Native L1↔L2 Token Bridge,TRUE,"[""Email"",""Bridge UI""]",FALSE,"[""Deposit"",""Withdrawal""]",,"[""Starknet Messaging"",""ETH & ERC-20 Support""]","[""ETH"",""ERC-20""]",Gas Fee,TRUE,Official StarkWare implementation,"[""Starknet Audits""]",Partially Decentralized,"[""Cairo""]","[""[Bridge](https://starkgate.starknet.io/)""]","[""ethereum"",""bitcoin"",""solana""]",NULL,NULL
superbridge,Superbridge,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Native USDC via CCTP"",""Easy Mode withdrawals""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Economic security via OP‑Stack / Nitro and CCTP for USDC,,Decentralized,"[""Web UI"",""SDK CLI?""]","[""[Bridge](https://superbridge.app/)"",""[Docs](https://docs.superbridge.app/)""]","[""ethereum"",""base"",""bnb chain"",""arbitrum one"",""unichain"",""optimism"",""soneium"",""linea"",""world chain"",""ink"",""celo"",""swellchain"",""superseed"",""bob"",""mode"",""zora"",""lisk"",""redstone"",""hashkey"",""ethernity"",""mint"",""swan"",""orderly"",""shape"",""derive"",""settlus"",""cyber"",""arena z"",""polynomial"",""lumio"",""funki"",""automata"",""ancient8"",""metal l2""]",NULL,NULL
swoop,Swoop Exchange,Meta‑DEX & Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Aggregator API""]",,"[""Aggregates 13+ bridges & 50+ DEXs"",""Best‑rate routing across 16 chains""]","[""ERC‑20"",""Stablecoins"",""Other tokens""]",Gas Fee + bridge/DEX fees,TRUE,"Non‑custodial, inherits security of underlying bridges",,Decentralized,"[""TypeScript""]","[""[Bridge](https://app.swoop.exchange/)"",""[Docs](https://docs.swoop.exchange/)""]","[""ethereum"",""bnb chain"",""solana"",""arbitrum"",""base"",""blast"",""avalanche"",""polygon"",""scroll"",""optimism"",""linea"",""zksync"",""polygon zkevm"",""gnosis"",""fantom"",""moonriver"",""moonbeam"",""fuse"",""boba"",""mode"",""metis"",""lisk"",""unichain"",""aurora"",""sei"",""hyperliquid"",""immutable zkevm"",""flare"",""sonic"",""vana"",""gravity"",""taiko"",""soneium"",""swellchain"",""ronin"",""opbnb"",""corn"",""lens"",""cronos"",""fraxtal"",""abstract"",""rootstock"",""apechain"",""celo"",""etherlink"",""hemi"",""world chain"",""xdc"",""mantle"",""sophon"",""superchain"",""bob"",""flow"",""katana"",""berachain"",""kaia"",""plasma"",""plume"",""hyperevm""]",NULL,NULL
symbiosis,Symbiosis,Cross‑chain AMM Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge""]",,"[""Aggregated liquidity across networks""]","[""ETH"",""USDC"",""ARB""]",Gas Fee + protocol fee,TRUE,Security via canonical chains,"[""Trail of Bits""]",Decentralized,"[""Web UI"",""SDK""]","[""[Bridge](https://app.symbiosis.finance/)"",""[Docs](https://docs.symbiosis.finance/)""]","[""ethereum"",""bitcoin"",""solana"",""tron"",""bnb chain"",""arbitrum one"",""base"",""abstract"",""apechain"",""arbitrum nova"",""avalanche"",""b² network"",""bahamut"",""berachain"",""blast"",""boba eth"",""core"",""cronos"",""cronos zkevm"",""fraxtal"",""gnosis"",""gravity"",""hyperevm"",""katana"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""morph"",""opbnb"",""optimism"",""plasma"",""polygon"",""polygon zkevm"",""rootstock"",""scroll"",""sei v2"",""solana"",""soneium"",""sonic"",""symbiosis"",""taiko"",""telos"",""ton"",""unichain"",""zetachain"",""zklink"",""zksync era""]",NULL,NULL
synapse,Synapse Protocol,Cross-chain Asset & Messaging Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Cross-chain Contract Calls""]",,"[""Generalized Messaging"",""Token Swap""]","[""ERC-20"",""Stablecoins""]",Gas Fee + Bridge Fee,TRUE,Liquidity pools with smart contract messaging,"[""Security Audits Available""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://synapseprotocol.com/)""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""hyberevm"",""optimism"",""berachain"",""unichain"",""world chain"",""base"",""blast"",""bnb chain"",""linea"",""scroll"",""dfk chain"",""canto"",""fantom"",""klaytn"",""aurora"",""boba"",""cronos"",""harmony"",""metis"",""dogechain"",""moonbeam"",""moonriver"",""hyperliquid""]",NULL,NULL
transporter,Transporter,CCIP Cross-Chain Communication & Asset Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer"",""Cross-chain Messaging""]",,"[""Powered by Chainlink CCIP"",""Enterprise-grade cross-chain integration""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security via Chainlink decentralized oracle network,,Decentralized,"[""TypeScript""]","[""[Site](https://www.transporter.io)""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum one"",""avalanche"",""base"",""berachain"",""blast"",""bnb chain"",""bob"",""celo"",""gnosis"",""hashkey"",""linea"",""mantle"",""metis"",""mind network"",""mode"",""optimism"",""polygon"",""ronin"",""scroll"",""sei"",""soneium"",""sonic"",""unichain"",""wemix"",""worldcoin"",""zircuit"",""zksync era""]",NULL,NULL
umbria,Umbria Network,Intent-based Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast bridging"",""Low fees""]","[""ETH"",""ERC‑20""]",Gas Fee + service fee,TRUE,Relayer-based intent execution,,Partially Decentralized,"[""Web UI""]","[""[Bridge](https://bridge.umbria.network/bridge/)"",""[Docs](https://bridge.umbria.network/docs/)""]","[""ethereum"",""bnb chain"",""polygon"",""avalanche"",""base"",""arbitrum"",""optimism"",""zksync"",""gnosis"",""fantom""]",NULL,NULL
universalx,UniversalX,Chain‑agnostic Trading Platform (no classical bridge),FALSE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Token Purchase""]",,"[""Unified balance across chains"",""Pay gas with any token""]","[""USDT"",""USDC"",""ERC‑20""]",Swap/Trade fees,FALSE,"Chain abstraction, no bridge needed",,Decentralized,"[""TypeScript""]","[""[Site](https://universalx.app)"",""[Docs](https://universalx.app)""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""bnb chain"",""optimism"",""solana"",""base""]",NULL,NULL
valuerouter,ValueRouter,Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Routing"",""Swap + Bridge""]",,"[""Best-route optimization"",""Multi-bridge support""]","[""ETH"",""ERC‑20""]",Gas Fee + routing fee,TRUE,Security depends on routed bridge,,,"[""Web UI""]","[""[Bridge](https://app.valuerouter.com)"",""[Docs](https://docs.valuerouter.com/)""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""cosmos"",""optimism"",""solana"",""base""]",NULL,NULL
veda,Veda,Intent-based Cross-chain Bridge & Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Contract Calls""]",,"[""Enterprise-grade SDK"",""Permissioned messaging""]","[""ERC‑20"",""Stablecoins"",""Data""]",Gas Fee + protocol fee,TRUE,Intent settlement with dispute module,,Decentralized,"[""TypeScript""]","[""[Site](https://veda.tech)"",""[Docs](https://veda.tech)""]","[""ethereum"",""solana"",""base""]",NULL,NULL
wanchain,Wanchain,Asset Bridge,TRUE,"[""Telegram"", ""Email"", ""Discord""]",FALSE,"[""Asset Transfer""]","[""Bridge Monitoring""]","[""Cross-chain asset bridging"",""WAN token discounts""]","[""ERC-20: USDT""]","10.2%, min. 0.2 USD, has discounts up to 80% based on WAN token holdings",TRUE,Secured via Wanchain validators and smart contracts,"[""Regular audits""]",Decentralized,"[""Node.JS SDK""]","[""[Bridge](https://bridge.wanchain.org/AssetBridge)"",""[Docs](https://docs.wanchain.org/)""]","[""ethereum"",""bnb chain"",""polygon"",""avalanche"",""astar"",""sonic"",""unichain"",""world chain"",""wanchain"",""bitcoin"",""arbitrum"",""base"",""bitrock"",""blast"",""cardano"",""celo"",""dogecoin"",""energi"",""fantom"",""kava"",""linea"",""litecoin"",""metis"",""moonbeam"",""moonriver"",""noble"",""okt chain"",""optimism"",""odyssey"",""plyr"",""polkadot"",""polygon zkevm"",""shido"",""solana"",""songbird"",""sui"",""telos"",""tron"",""vechain"",""vinuchain"",""x layer"",""xdc"",""xrp ledger"",""edexa"",""f(x) core"",""zksync era""]",NULL,NULL
wormhole,Wormhole,Generic Messaging & Asset Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Cross-chain Messaging""]",,"[""Guardian network of validators"",""VAA attestations""]","[""ERC-20"",""OFT"",""NFT""]",Gas Fee,TRUE,Independent guardian set across ~30 chains,"[""Audits + bug bounty""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://portalbridge.com/)"",""[Docs](https://wormhole.com/docs/)""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""sui"",""optimism"",""solana"",""base"",""hyperevm"",""bnb chain"",""unichain"",""celo"",""moonbeam"",""kaia"",""scroll"",""berachain"",""mezo"",""aptos"",""world chain"",""ink"",""linea"",""sonic"",""seievm"",""plume"",""xrpl evm"",""creditcoin""]",NULL,NULL
xyfinance,XY Finance,Cross‑chain Liquidity Router,TRUE,"[""Discord""]",FALSE,"[""Liquidity Routing"",""Swaps""]",,"[""Multi-path routing"",""Token bridge + swap""]","[""ETH"",""ERC‑20""]",Gas Fee + routing fee,TRUE,Liquidity pool validation across chains,,Decentralized,"[""Web UI"",""API""]","[""[Bridge](https://app.xy.finance/)"",""[Docs](https://docs.xy.finance)""]","[""ethereum"",""polygon"",""linea"",""base"",""bnb chain"",""cronos"",""arbitrum"",""optimism"",""astar"",""zksync era"",""polygon zkevm"",""linea"",""mantle"",""scroll"",""blast"",""x layer"",""taiko"",""cronos zkevm"",""abstract"",""berachain"",""klaytn"",""moonriver"",""thundercore"",""fantom""]",NULL,NULL
zkbridge,zkBridge,Omnichain Messaging & OFT,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API""]","[""Custom Dashboards""]","[""Zero-Knowledge Verification""]","[""FLR"",""SGB"",""ERC-20""]",Gas Fee,TRUE,ZK-proof based security,,Decentralized,"[""TypeScript""]","[""[Bridge](https://zkbridge.com/token)"",""[Docs](https://docs.zkbridge.com/)""]","[""ethereum"",""polygon"",""linea"",""base"",""bnb chain"",""opbnb"",""arbitrum one"",""optimism""]",NULL,NULL
